Entrantes,Espera,Desbordes,Transferencias,Contestadas,Contestadas20seg,Contestadas15seg,Abandonadas,TiempoConversacion,TiempoEspera
16468,5755,5575,3683,15038,11913,11745,1430,5386977,491497
38096,12762,11886,7890,34741,27204,26739,3355,12316804,1174070
36764,12135,11943,7485,33057,26315,25859,3707,11777365,1106354
25288,9350,8917,5898,24295,20980,20708,993,8754261,804220
33723,11478,10461,7019,32075,26440,26032,1648,11271951,1004186
30354,10582,11017,6419,29213,24775,24439,1141,10217953,946040
19179,6643,6796,4264,18666,16367,16198,513,6362540,494245
15182,5465,5151,3447,14531,12551,12413,651,5084564,459609
34400,11971,11570,7348,33351,28555,28224,1049,11521274,1038671
33217,11890,11428,7340,32415,28163,27853,802,11220417,1017996
32853,11541,11503,6992,31908,27826,27450,945,11200515,1030132
31869,11239,10851,6939,30884,27073,26761,985,10820376,1016598
30126,10463,11615,6342,28975,25316,25058,1151,10076009,1059729
20547,7303,7245,4711,19785,16946,16779,762,6596669,576014
16340,5918,5861,3835,15718,13468,13326,622,5172949,486644
34364,12473,11271,7888,32904,27485,27051,1460,11575170,1078235
33975,12584,11629,7885,33022,28053,27625,953,11601331,1067607
33436,12347,12262,7657,32425,26670,26233,1011,11359551,1135731
31364,11405,12584,7257,30296,24871,24452,1068,10633216,956607
29114,10442,10672,6605,28144,24764,24469,970,9726859,867876
19852,7059,7001,4506,18643,15986,15806,1209,6360008,639051
16166,5916,5394,3755,15019,12168,12000,1147,5196879,497699
34574,12229,11875,7744,33611,28645,28254,963,11766543,1009841
32591,11464,12056,7050,31855,27787,27426,736,11234036,998416
32947,11733,11055,7239,32010,27034,26706,937,11437792,1042252
32395,11200,10972,7109,31686,27865,27483,709,10833453,955225
30659,10464,10983,6393,29758,25904,25628,901,10329379,951508
19371,6773,6577,4299,18831,16452,16247,540,6402980,555771
14044,5077,4790,3330,13361,11876,11767,683,4519650,425302
21884,8154,8331,5349,21463,19665,19494,421,7346709,676559
33371,12162,12102,7519,32572,27801,27430,799,11478640,1023688
33142,12162,11351,7510,32004,26620,26248,1138,11214865,1078133
33206,12012,11762,7303,32136,27060,26679,1070,11372931,1087386
30385,10748,11742,6523,29689,26069,25766,696,10298366,933237
19187,7010,6854,4426,18613,16091,15925,574,6529145,597884
15793,5769,5245,3686,15035,12581,12441,758,5237833,512277
35843,12645,12524,7740,34545,28421,27978,1298,12327179,1087349
33322,12251,12381,7441,32356,27377,27029,966,11686920,1077074
32478,11698,11854,7207,31600,27006,26647,878,11343827,1009395
31979,11418,11221,6970,31249,27337,26968,730,11023351,992110
29774,10490,10651,6444,29085,25250,24944,689,10217276,940327
17887,6368,7466,4032,17414,15478,15324,473,6225216,523168
14225,5189,5988,3393,13463,11503,11391,762,4654821,442574
33759,12035,12142,7449,32909,27991,27602,850,11483591,1023440
31151,10999,11284,6816,30399,26599,26257,752,10551464,926502
33349,12062,11789,7493,32094,26929,26602,1255,11161484,1068764
30158,11325,11159,7225,29345,25644,25356,813,10449608,941238
29056,10799,10866,6815,28159,24038,23766,897,10153342,862077
18416,6632,6492,4331,17472,14253,14083,944,6279109,547487
13918,5375,5233,3653,13403,11405,11292,515,4896202,427945
37576,13847,12358,8736,33442,24021,23573,4134,11848775,1247066
32943,12063,11552,7579,31823,26840,26479,1120,11302106,997310
31735,11731,12445,7398,30889,26091,25675,846,11155956,937037
32275,11560,12777,7084,31239,26198,25794,1036,11248403,1015986
30762,10989,11611,6650,30023,25998,25645,739,10782428,1020212
19673,7261,7531,4450,18761,15603,15404,912,6735774,710017
14533,5391,5175,3471,13824,11357,11220,709,5121210,414753
34875,12442,12122,7680,33736,26390,25928,1139,12273193,997623
34256,12135,12361,7356,32685,25911,25460,1571,11820018,1026216
34146,12171,12088,7401,32625,25650,25185,1521,11738986,1139684
31515,11125,11836,6903,30584,26106,25750,931,11124208,1012339
30291,10745,12024,6621,29267,25005,24692,1024,10705545,907923
19008,6555,7354,4130,17869,14737,14555,1139,6302621,552202
14500,5140,5030,3350,13834,11439,11307,666,4811841,350270
35367,12421,12964,7628,33620,27548,27057,1747,12124631,1118687
39101,13499,13615,8099,35476,26883,26360,3625,13150263,1394301
